title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded,metascore,userscore,total_sales_scaled,metascore_scaled,userscore_scaled,combined_score,success_combined
grand theft auto v,Ps3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,2013.0,0,22,552,97.0,85.0,1.0,0.9873417721518988,0.8762886597938144,0.9671734307712384,1
grand theft auto v,Ps4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014.0,0,23,552,97.0,85.0,0.9542322834645669,0.9873417721518988,0.8762886597938144,0.9397128008499785,1
grand theft auto: vice city,Ps2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2002.0,0,21,552,95.0,87.0,0.794783464566929,0.9620253164556962,0.8969072164948454,0.8454006803322232,1
grand theft auto v,X360,Action,Rockstar Games,Rockstar North,7.3,15.86,9.06,0.06,5.33,1.42,2013.0,0,35,552,97.0,85.0,0.780511811023622,0.9873417721518988,0.8762886597938144,0.8354805173854116,1
call of duty: modern warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2011.0,15,35,23,88.0,38.0,0.7293307086614174,0.8734177215189873,0.3917525773195876,0.6665492277545954,1
call of duty: black ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010.0,15,35,23,87.0,71.0,0.7253937007874016,0.8607594936708861,0.7319587628865979,0.7473398352447234,1
red dead redemption 2,Ps4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018.0,1,23,552,97.0,89.0,0.6860236220472441,0.9873417721518988,0.9175257731958762,0.7890968823501002,1
call of duty: black ops ii,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012.0,15,35,23,83.0,59.0,0.6820866141732284,0.810126582278481,0.6082474226804123,0.6828328115158123,1
call of duty: black ops ii,Ps3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012.0,15,22,23,83.0,59.0,0.6791338582677166,0.810126582278481,0.6082474226804123,0.6810611579725052,1
call of duty: modern warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009.0,15,35,23,94.0,78.0,0.6658464566929133,0.9493670886075949,0.8041237113402062,0.7429438651419387,1
call of duty: wwii,Ps4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2017.0,15,23,23,79.0,53.0,0.6594488188976378,0.759493670886076,0.5463917525773195,0.6461912801158239,1
call of duty: modern warfare 3,Ps3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011.0,15,22,23,88.0,38.0,0.6569881889763779,0.8734177215189873,0.3917525773195876,0.6231437159435718,1
grand theft auto iii,Ps2,Action,Rockstar Games,Dma Design,9.5,13.1,6.99,0.3,4.51,1.3,2001.0,0,21,552,97.0,80.0,0.6446850393700787,0.9873417721518988,0.8247422680412371,0.7410978564551414,1
call of duty: black ops,Ps3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010.0,15,22,23,87.0,71.0,0.6235236220472441,0.8607594936708861,0.7319587628865979,0.6862177880006288,1
fifa 18,Ps4,Sports,Ea Sports,Ea Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017.0,17,23,167,84.0,41.0,0.5807086614173229,0.8227848101265823,0.422680412371134,0.5775130214621645,1
