title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded
grand theft auto v,Ps3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,2013.0,0,22,552
grand theft auto v,Ps4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014.0,0,23,552
grand theft auto: vice city,Ps2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2002.0,0,21,552
grand theft auto v,X360,Action,Rockstar Games,Rockstar North,7.3,15.86,9.06,0.06,5.33,1.42,2013.0,0,35,552
call of duty: black ops 3,Ps4,Shooter,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2015.0,15,23,23
call of duty: modern warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2011.0,15,35,23
call of duty: black ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010.0,15,35,23
red dead redemption 2,Ps4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018.0,1,23,552
call of duty: black ops ii,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012.0,15,35,23
call of duty: black ops ii,Ps3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012.0,15,22,23
call of duty: modern warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009.0,15,35,23
call of duty: wwii,Ps4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2017.0,15,23,23
call of duty: modern warfare 3,Ps3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011.0,15,22,23
grand theft auto iii,Ps2,Action,Rockstar Games,Dma Design,9.5,13.1,6.99,0.3,4.51,1.3,2001.0,0,21,552
call of duty: black ops,Ps3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010.0,15,22,23
fifa 18,Ps4,Sports,Ea Sports,Ea Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017.0,17,23,167
grand theft auto iv,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2008.0,0,35,552
fifa 17,Ps4,Sports,Electronic Arts,Ea Canada,8.9,10.94,1.26,0.12,7.95,1.61,2016.0,17,23,178
call of duty: modern warfare 2,Ps3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2009.0,15,22,23
grand theft auto iv,Ps3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,0.44,3.73,1.62,2008.0,0,22,552
call of duty: ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,0.04,2.64,0.98,2013.0,15,35,23
call of duty: ghosts,Ps3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2013.0,15,22,23
halo: reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2010.0,15,35,410
halo 4,X360,Shooter,Microsoft Studios,343 Industries,7.3,9.96,6.72,0.04,2.36,0.83,2012.0,15,35,411
call of duty 4: modern warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2007.0,15,35,23
call of duty: black ops iiii,Ps4,Shooter,Activision,Treyarch,7.3,9.32,4.05,0.5,3.28,1.49,2018.0,15,23,23
fifa 19,Ps4,Sports,Electronic Arts,Ea Sports,7.3,9.15,0.84,0.1,6.87,1.34,2018.0,17,23,178
the elder scrolls v: skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2011.0,13,35,87
grand theft auto v,Xone,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2014.0,0,38,552
call of duty: infinite warfare,Ps4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2016.0,15,23,23
